number,age,response_id,gender,fav_char,choice_dictation,Socialiser,Achiever,Explorer,Killer,platform,class,character_gender,Self.Monitoring,Nondisclosure.of.Imperfection,Nondisplay.of.Imperfection,Perfectionistic.Self.Promotion,Openness.To.Experience,Agreeableness,Conscienctiousness,Neuroticism,Extraversion
297,30 - 34,R_2V3nTKY7BeHOTPi,Male,Junkrat,35,3,1,4,2,PC,Defense,Male,13,4,4.2,4.5,3.714285714,3.571428571,2.7,2.375,1.777777778
298,21 - 24,R_1C7Mqkm8KnUeQow,Male,Reaper,25,4,2,1,3,PC,Offense,Male,4,3.571428571,4.1,2.8,2.714285714,3.857142857,3.3,4.25,1.777777778
299,30 - 34,R_23fRD0xCS21MeWq,Male,Junkrat,40,1,2,3,4,XBox,Defense,Male,13,2.714285714,2.2,2.6,3.285714286,4,3.8,1.25,3.333333333
300,21 - 24,R_1QA61FIW5xvhtWT,Male,Symmetra,40,4,1,3,2,PC,Support,Female,11,4.428571429,6.6,3.5,3.714285714,3.142857143,1.9,4.125,1.333333333
301,40 - 49,R_1rdea2W3mNWmect,Male,Pharah,86,2,1,4,3,Playstation,Offense,Female,8,1.428571429,3.7,3.4,4.571428571,4.714285714,3.6,2.125,3.111111111
302,30 - 34,R_Y5ovzZfSxYsciRj,Male,Sombra,100,2,1,3,4,PC,Offense,Female,13,4.285714286,4.5,3.7,3.571428571,3.857142857,2.3,2.5,3.444444444
303,30 - 34,R_1Ol5uouf24KT9XV,Female,Mei,80,1,2,4,3,PC,Defense,Female,9,4.857142857,5.7,5.5,3.857142857,3.428571429,3.4,1.875,3.555555556
304,21 - 24,R_1k1aGUuaRht4Swp,Male,Reinhardt,39,1,2,4,3,XBox,Tank,Male,19,5,4.8,3.8,3.428571429,4.714285714,2.7,3.125,4.555555556
305,18 - 20,R_31N5y26m4XB2pTR,Male,Zenyatta,31,1,3,2,4,PC,Support,Male,15,2.857142857,3.7,2.9,3.571428571,4.142857143,3.5,1.875,2.555555556
306,25 - 29,R_12yu8zoyGqekCkK,Female,Sombra,22,1,3,2,4,PC,Offense,Female,14,2.428571429,4.2,3,4.857142857,4,2.5,3.5,3.333333333
307,30 - 34,R_3nkeIaCT2mYjynw,Male,Lucio,0,3,1,4,2,Playstation,Support,Male,15,1.714285714,3,3.1,4.285714286,4,3,2.75,3.333333333
308,21 - 24,R_Ub9ouF1zvuNfhsJ,Female,Ana,100,1,2,3,4,PC,Support,Female,6,1.285714286,1,1.5,3.857142857,4.857142857,4.5,2.375,1.777777778
309,30 - 34,R_10uDgsLtuO6cLLT,Male,Lucio,85,1,2,4,3,PC,Support,Male,16,1.857142857,4.9,3.6,4.142857143,4.857142857,2.6,2.375,4.111111111
310,21 - 24,R_YVuKmPC7dHglSrT,Male,Junkrat,42,2,1,3,4,PC,Defense,Male,16,4.428571429,4.5,3.3,3.142857143,3.428571429,2.8,2.75,2.222222222
311,25 - 29,R_3Jq2PCbmGpb9Yfv,Male,Widowmaker,60,1,2,3,4,PC,Defense,Female,16,4.571428571,4.7,3.1,4.142857143,4,3.6,4.625,2.666666667
312,21 - 24,R_27CZRTfD47yVkvq,Male,D. Va,60,2,1,4,3,PC,Tank,Female,10,3.857142857,3.5,3,4.428571429,3.571428571,2.9,2.375,2.111111111
313,21 - 24,R_XtSIYkZOTkdxMPL,Female,Junkrat,86,3,1,2,4,PC,Defense,Male,13,4.285714286,4.9,4.5,4.285714286,4.285714286,3.3,2.875,2.555555556
314,18 - 20,R_D8FDwQt5rKCfLK9,Male,Genji,74,4,1,3,2,PC,Offense,Male,10,3.428571429,2.9,2.1,3.428571429,4,2,1.5,3
315,18 - 20,R_2CwdJ3opo6EvmmO,Male,Zarya,16,2,1,4,3,PC,Tank,Female,7,4.714285714,5.9,4.5,2.428571429,3.142857143,2.9,3.125,2.222222222
316,18 - 20,R_cA6eh2czgk51ROp,Male,Junkrat,81,3,1,2,4,PC,Defense,Male,14,6.285714286,6.7,5,4.142857143,2.142857143,2.6,4.75,2.777777778
317,18 - 20,R_30kqnoYMT8geq6a,Male,Zenyatta,89,1,2,3,4,PC,Support,Male,16,3.857142857,3.7,4,3.714285714,4.285714286,3.5,3.875,3.222222222
318,25 - 29,R_27yAv7p7fU6QI4r,Male,Sombra,35,1,2,4,3,PC,Offense,Female,10,3.857142857,3.8,3.5,3.714285714,3,4,3.25,2.222222222
319,21 - 24,R_3e2kWqgWGtzkTpv,Male,Lucio,100,2,1,4,3,XBox,Support,Male,14,2.857142857,3.2,2.9,4.428571429,3.571428571,3.2,3.125,4.222222222
320,18 - 20,R_6MxynnD1pAkLtAt,Male,Genji,90,2,1,4,3,PC,Offense,Male,12,5.571428571,6.9,6.9,3.428571429,4.428571429,2,1.875,3.222222222
321,25 - 29,R_1LFie3bIbDjG2Y8,Male,Tracer,19,2,1,3,4,PC,Offense,Female,9,3.857142857,5.7,3.9,3.857142857,3.142857143,1.8,2.75,2
322,30 - 34,R_SIxqBzCn74Eru1P,Male,Hanzo,29,4,2,3,1,PC,Defense,Male,13,3.857142857,3.5,4.4,4.142857143,3.714285714,4.7,1.875,2.222222222
323,18 - 20,R_O0ucu3ROIxOEtBD,Male,McCree,29,1,2,4,3,PC,Offense,Male,19,2.285714286,4.3,4.4,3.142857143,4.285714286,3,1.875,4
324,18 - 20,R_C3K3x2Gsxw35h3b,Male,Mercy,69,4,1,2,3,PC,Support,Female,13,4.857142857,6.4,4.4,4,3.857142857,3.2,3.25,1.777777778
325,18 - 20,R_2VyXROU7CEYqzYG,Female,Hanzo,39,1,3,2,4,PC,Defense,Male,15,4.571428571,4.3,3.3,4.285714286,5,3.1,4.75,1.666666667
326,30 - 34,R_30i7fT4WcM1BdNY,Male,Orisa,39,2,1,4,3,PC,Tank,Female,14,1.428571429,3.3,2.2,4.714285714,4.142857143,2.8,1.75,4
327,18 - 20,R_1gkJWFXTKMK4Guf,Male,Pharah,72,1,2,4,3,PC,Offense,Female,NA,3.428571429,4.5,3.3,3.428571429,4.714285714,3,3,3.666666667
328,18 - 20,R_29hwYF2h5H7G8Co,Male,Genji,70,1,2,3,4,PC,Offense,Male,13,3.428571429,3,4.1,3.428571429,2.857142857,3.4,3.375,3.222222222
329,18 - 20,R_1LTCYMoHvaxK2q9,Male,Zarya,68,1,2,4,3,XBox,Tank,Female,23,3,3.5,2.6,4.142857143,4.714285714,3.6,3.125,3.888888889
330,25 - 29,R_3m3K94OB6FwqgdY,Male,Roadhog,64,2,1,4,3,XBox,Tank,Male,11,3.428571429,3.1,2.9,4,4.285714286,3.3,1.125,3.666666667
331,25 - 29,R_09btUgF7C9CHd0R,Male,Zenyatta,33,2,1,4,3,PC,Support,Male,13,3.857142857,5.3,4.4,4.142857143,3.857142857,3.1,3.75,2.333333333
332,25 - 29,R_2anR7OwwF8IZShN,Male,Zenyatta,32,4,1,2,3,PC,Support,Male,12,5.571428571,5.8,6.3,4.142857143,3.285714286,2,4.5,1.222222222
333,21 - 24,R_1lAIGum9mNjjMTV,Female,D. Va,67,1,2,4,3,PC,Tank,Female,16,3.857142857,5.2,4.5,4.857142857,3.571428571,2.9,3.25,4.444444444
334,18 - 20,R_2QthGDevlFhImGg,Male,Lucio,44,1,3,2,4,PC,Support,Male,11,1.857142857,4.7,2.5,3.142857143,4,2.8,2.375,3.333333333
335,18 - 20,R_vBwPUiNccqZ1gDn,Male,Zarya,19,3,1,4,2,PC,Tank,Female,11,1.571428571,4.5,4,4.142857143,3.142857143,2,2.375,2
336,35 - 39,R_3MfgBp8cLiWgQj3,Male,Soldier: 76,76,1,2,3,4,PC,Offense,Male,12,1.285714286,3.7,2.2,4.857142857,4.285714286,3.6,1.625,4.111111111
337,18 - 20,R_3GycTjAyvSb1oSY,Male,Hanzo,73,3,2,4,1,XBox,Defense,Male,13,2.714285714,3.9,2.9,3,3.285714286,3.4,2.75,2.444444444
338,25 - 29,R_2WYjRAITZyBDeNK,Male,Tracer,68,3,1,4,2,XBox,Offense,Female,15,4.428571429,4.1,4,4.142857143,3.571428571,2.1,4.625,3
339,18 - 20,R_1gTJghbXLtZwCiB,Male,D. Va,83,4,1,2,3,PC,Tank,Female,10,3.714285714,3.9,4.3,3.428571429,2.857142857,3.2,1.625,2.888888889
340,18 - 20,R_3RrMZg8GwUHOodJ,Male,Tracer,49,1,2,3,4,PC,Offense,Female,17,3.571428571,3.3,3.1,3.571428571,2.142857143,2.1,4.375,3.222222222
341,18 - 20,R_3kozilND074Y7zZ,Male,McCree,38,1,2,3,4,Playstation,Offense,Male,15,2.857142857,3.7,1.9,3.142857143,3.428571429,3.4,2.375,2.111111111
342,18 - 20,R_3isqkDr3h8i3ILH,Male,McCree,77,3,1,4,2,Playstation,Offense,Male,13,2.428571429,4.9,2.6,2.285714286,4,2.4,1.625,2.666666667
343,21 - 24,R_3KolWmJgzZcD36v,Male,Tracer,29,4,1,2,3,PC,Offense,Female,10,5.142857143,6.2,6.3,5,3,2.2,3.75,1
344,18 - 20,R_1DGed7hX6sHS986,Male,Widowmaker,53,1,2,3,4,PC,Defense,Female,20,3.142857143,3.4,2.5,4.285714286,2.857142857,3.2,3.125,3.333333333
345,18 - 20,R_3KpwUkb9Cjh9uEX,Female,Mercy,48,1,3,2,4,PC,Support,Female,11,4,5.3,4.5,4,3.714285714,2.7,3.25,1.666666667
346,18 - 20,R_z2UgsyJsSLy022d,Male,Junkrat,33,1,2,3,4,PC,Defense,Male,11,2.714285714,3,2.6,3.285714286,4.714285714,3.4,2,2.666666667
347,21 - 24,R_1IEMfE7lUCGDDzh,Male,Reaper,0,2,1,4,3,PC,Offense,Male,10,5,6.4,5.1,4.857142857,3.714285714,3.4,4,2.444444444
348,25 - 29,R_3PAFiRMPxxVxXQU,Male,Orisa,82,2,1,4,3,PC,Tank,Female,12,2.714285714,2.1,1.9,3.857142857,3,3.8,1.125,3
349,21 - 24,R_2CIexk7DHb2kOAt,Male,Zenyatta,50,3,1,2,4,XBox,Support,Male,4,2.857142857,3.8,3.2,3.714285714,3.857142857,4,2.625,2.444444444
350,18 - 20,R_2tFNhsBe6SQzb1m,Male,Genji,71,1,2,4,3,PC,Offense,Male,10,4.571428571,5.9,4.7,4.142857143,4.285714286,3.2,2,2.444444444
351,21 - 24,R_2ValGYknnMiJPTV,Male,Ana,70,1,2,3,4,PC,Support,Female,11,2.285714286,3.3,2.6,4.142857143,4.571428571,3.1,2.125,3.444444444
352,25 - 29,R_C4vnjO22Z2UY7zr,Male,Roadhog,70,2,1,3,4,Playstation,Tank,Male,17,2.428571429,3.1,2.6,3.285714286,3.714285714,3.3,1.5,3.444444444
353,21 - 24,R_a3PShvrC8iy9qq5,Male,Winston,28,1,2,3,4,PC,Tank,Male,11,2.285714286,3.6,1.5,3.571428571,3.714285714,4.3,2.75,3.555555556
354,18 - 20,R_2QYafErqrYRx8yg,Male,Lucio,100,1,2,3,4,PC,Support,Male,17,4,5.2,4.1,4.142857143,3.285714286,2.8,1.875,3.444444444
355,30 - 34,R_1JFN1cV0fJpWLDN,Male,Zenyatta,0,2,1,4,3,PC,Support,Male,19,3.285714286,3.1,4.3,4.285714286,4.285714286,3.4,1.75,4
356,35 - 39,R_3koaHN2YzDYpXyd,Female,Symmetra,70,2,1,4,3,XBox,Support,Female,6,4,5,3.6,2.857142857,4.428571429,3.7,1.625,2.555555556
357,25 - 29,R_3PT6T1uEkwiIZQZ,Male,Pharah,90,2,3,1,4,PC,Offense,Female,7,4.571428571,4.7,4.7,3.714285714,3.571428571,3.2,2.125,1.444444444
358,18 - 20,R_3iXzayYNNwZ9Wk5,Male,Junkrat,74,1,2,4,3,Playstation,Defense,Male,12,3.857142857,3.9,2.8,3.142857143,4,3.8,1.875,2.888888889
359,18 - 20,R_1qdPwv5FyWVm3Rf,Male,Genji,34,2,1,4,3,PC,Offense,Male,16,4.285714286,6.2,4.8,4.571428571,3.428571429,2.5,2.875,3
360,21 - 24,R_3h6eSdz85Nuz4gk,Male,Hanzo,0,3,1,4,2,Playstation,Defense,Male,15,4.142857143,4.2,5.7,3.714285714,4.285714286,3.3,2.875,3.555555556
361,30 - 34,R_vZTKqcqwdsoX2sp,Female,Zarya,0,2,1,4,3,PC,Tank,Female,7,3.428571429,4.5,3.9,3.857142857,3.857142857,3,1.75,2
362,21 - 24,R_1LHyjih099460hi,Male,Zenyatta,49,3,1,2,4,Playstation,Support,Male,15,5.571428571,5.8,5.3,3.714285714,4,2.5,4,2.555555556
363,18 - 20,R_3m95YkXBj9Hsn77,Male,Roadhog,28,3,1,4,2,PC,Tank,Male,9,3.142857143,6,3.6,4.428571429,2.714285714,2.8,3,2
364,25 - 29,R_31uyDt6D0EPYmqS,Male,Junkrat,32,2,1,4,3,PC,Defense,Male,16,2,3.9,3.1,3.571428571,4.285714286,3.7,2.125,2.888888889
365,25 - 29,R_26nz7NOfzRE74Ej,Male,Soldier: 76,74,1,3,4,2,PC,Offense,Male,8,5.285714286,5.7,4.7,4.285714286,3.857142857,2.6,3.375,1.666666667
366,25 - 29,R_AiW8cohqxEC4n1T,Male,McCree,0,4,2,3,1,PC,Offense,Male,16,3.428571429,4.4,2.8,3.714285714,4.285714286,2.3,2.375,2.666666667
367,18 - 20,R_2A0Qn10n2LKeW6x,Male,Pharah,49,3,2,1,4,PC,Offense,Female,8,3.428571429,4.7,3.3,2.857142857,3.428571429,3.2,1.625,1.666666667
368,21 - 24,R_DSkczLj0beHmiJz,Male,Junkrat,0,3,1,2,4,PC,Defense,Male,11,3.857142857,3.4,4.7,4.285714286,4.285714286,3.3,1.625,3.111111111
369,25 - 29,R_2pLwnDHpO1tk6Ek,Male,Zarya,0,2,1,4,3,Playstation,Tank,Female,14,3.857142857,4.2,4.2,3.428571429,3.714285714,3.6,2,3.444444444
370,30 - 34,R_1pKJHQRvYAHleom,Male,Pharah,30,1,2,4,3,PC,Offense,Female,16,2,5.8,3.9,3.714285714,4.571428571,3.5,3.125,4.222222222
371,35 - 39,R_1jr1vBwgpqYQX35,Male,Symmetra,31,2,1,3,4,PC,Support,Female,12,5,5.1,3.1,4.428571429,4.285714286,3.1,3.875,2.222222222
372,21 - 24,R_BKU24Ja8HGnB369,Male,Lucio,72,3,1,4,2,PC,Support,Male,11,2.714285714,5.1,5.2,3.714285714,3.714285714,3.7,1.625,1.888888889
373,18 - 20,R_3FP8GTMI0oQkkU9,Female,Widowmaker,61,2,1,4,3,PC,Defense,Female,14,4.428571429,5.8,5.8,4.142857143,3.142857143,2.8,4.375,2.333333333
374,21 - 24,R_3qHYfjWhPs0PcDy,Male,Mercy,30,1,3,2,4,PC,Support,Female,13,2.285714286,2.9,2.1,4.285714286,3.857142857,2.7,2.75,1.888888889
375,21 - 24,R_2OHL4UZgUyx5scS,Male,Symmetra,65,1,3,4,2,Playstation,Support,Female,18,4.285714286,5.6,3.9,5,3.428571429,2.9,3.25,4.333333333
376,21 - 24,R_29nueJr2tCXr9Ir,Male,Zenyatta,80,3,1,2,4,PC,Support,Male,18,4.285714286,5.1,4.8,2.857142857,4.428571429,3.4,2.125,2.555555556
377,18 - 20,R_12nb27Cg8mFlCWV,Male,Soldier: 76,0,3,1,4,2,PC,Offense,Male,10,4.285714286,4.1,2.8,3.714285714,3,3.7,1.875,2.888888889
378,25 - 29,R_3EzIRg89b0nTQlD,Male,Tracer,49,2,1,4,3,PC,Offense,Female,7,2.857142857,4.5,3,4.428571429,3.714285714,2.3,2.125,2.666666667
379,21 - 24,R_1kTiTZbBJmHLiz3,Male,Zarya,79,3,1,4,2,PC,Tank,Female,16,5,6.9,7,3.285714286,4,3.9,2.75,2.777777778
380,21 - 24,R_3QVoH79GqGC1DX3,Male,Pharah,0,3,1,4,2,Playstation,Offense,Female,14,3.714285714,3.7,4,3.714285714,3.714285714,4.5,1.5,1.222222222
381,25 - 29,R_3Eaq9uDCBt1UliY,Female,Genji,47,1,4,3,2,PC,Offense,Male,16,3.428571429,5,4.8,4.714285714,4.285714286,1.7,3.375,3.666666667
382,30 - 34,R_11ayuEv6iw2TjFk,Female,Zenyatta,39,1,2,4,3,PC,Support,Male,16,1.285714286,3.9,2.4,5,4.285714286,2,2.5,3
383,18 - 20,R_qKgu4RQQTsYsKLn,Male,Orisa,69,1,2,4,3,PC,Tank,Female,14,2.285714286,3.7,3.8,4.857142857,4.285714286,3.3,2.25,2.666666667
384,21 - 24,R_vYqJbwQgFxbj7Jn,Male,Soldier: 76,72,1,2,4,3,PC,Offense,Male,15,1.571428571,3.6,5.7,4.428571429,3.714285714,4.5,2.5,3.666666667
385,21 - 24,R_2v2nmfkoIoMolcl,Female,D. Va,66,1,4,2,3,PC,Tank,Female,11,2.428571429,3.6,2.8,4.142857143,4.428571429,4.3,3.125,2.666666667
386,35 - 39,R_1d62qvowEnmQQ22,Male,Junkrat,50,4,1,2,3,XBox,Defense,Male,12,3,2.4,3.4,4.142857143,4.428571429,2.9,1,2.666666667
387,35 - 39,R_DMIEMMl8u2nKEil,Male,Zenyatta,49,2,1,3,4,Playstation,Support,Male,16,3.142857143,4.5,3.2,4.571428571,3.142857143,3,3,3.222222222
388,35 - 39,R_8e2ljpnVhAfJwgF,Male,D. Va,73,2,1,3,4,XBox,Tank,Female,14,4.142857143,5.7,3.5,4.142857143,4.571428571,2.9,1.875,3
389,25 - 29,R_12r7ofkw0BhpObR,Male,D. Va,93,1,2,3,4,PC,Tank,Female,13,2,1.3,1.8,4.714285714,5,4.8,1,4.888888889
390,18 - 20,R_1iah6jtxLasaBix,Male,Soldier: 76,27,2,1,4,3,PC,Offense,Male,5,3.571428571,4.9,4.9,3.142857143,3,2.5,4.375,2.111111111
391,25 - 29,R_BQhLpZwb8FH6zwB,Male,Mercy,49,1,2,3,4,Playstation,Support,Female,10,1.571428571,4.4,4.2,4.142857143,3.571428571,3.4,3.75,2.111111111
392,21 - 24,R_31nQDpKYkVVyBGL,Male,D. Va,0,3,1,2,4,PC,Tank,Female,10,5.285714286,5.7,6.5,2.428571429,4.428571429,3.2,4.375,1.222222222
393,21 - 24,R_3qKx9xn4qghCHBs,Male,D. Va,80,2,1,4,3,PC,Tank,Female,17,6.142857143,6.9,6.8,3.571428571,3.714285714,2,4.125,1.777777778
394,21 - 24,R_2dR7m6NJLTiRFzU,Male,Genji,80,1,2,3,4,PC,Offense,Male,16,3.285714286,5.2,2.5,3.714285714,3.428571429,3.3,3.375,2.444444444
395,18 - 20,R_3sB5KjDGIOp03vm,Male,Zenyatta,49,3,2,1,4,PC,Support,Male,13,3.142857143,5.1,3.3,5,4,3.1,3,3.222222222
396,25 - 29,R_3j0V2u3H0DO8n1c,Male,McCree,29,3,1,4,2,PC,Offense,Male,20,3.714285714,5,4.3,4.857142857,3.571428571,1.9,3.375,3.222222222
397,21 - 24,R_2saQvI6TzG2HqXU,Female,Symmetra,81,4,2,1,3,PC,Support,Female,11,4.857142857,6.6,3.7,4,4.142857143,2.6,3.75,1.444444444
398,25 - 29,R_qLxlB1OeTa6hNdf,Female,Tracer,77,1,2,3,4,PC,Offense,Female,17,3.428571429,5.7,5.2,5,4.285714286,2.5,3.375,3
399,18 - 20,R_2U3kPUuG1wBpTY2,Male,Roadhog,0,3,2,4,1,PC,Tank,Male,16,5.428571429,6.3,6.5,3,2.428571429,3.9,2.875,1.444444444
400,21 - 24,R_Xn9LYBKcl8BJkAx,Female,Sombra,33,2,1,4,3,PC,Offense,Female,11,2.285714286,5.4,5.3,3.428571429,4.428571429,3.8,2.625,3.666666667
401,21 - 24,R_2SwpzvqMGNoVEhD,Male,Genji,0,2,1,4,3,PC,Offense,Male,12,1.571428571,4.9,4.1,3.285714286,3.571428571,3.9,1.875,3
402,21 - 24,R_zYcliaqtgUIeXzr,Male,Mercy,71,1,2,4,3,PC,Support,Female,17,3.142857143,4.6,3.7,4,3.857142857,2.9,1.875,3.333333333
403,25 - 29,R_qXwXEXjJKI0aiZj,Male,Soldier: 76,87,3,1,4,2,PC,Offense,Male,14,4.428571429,4.3,4.8,4,3.857142857,3.9,3.5,2.888888889
404,18 - 20,R_1ffMmt4tIjfN66q,Male,Lucio,76,1,2,4,3,Playstation,Support,Male,11,4.142857143,5.5,3.7,3.857142857,4.714285714,2.8,2.125,3.333333333
405,18 - 20,R_3F20uCm6FnsQlSc,Male,Ana,49,2,1,4,3,PC,Support,Female,16,3.571428571,5.3,3.9,4.285714286,3.857142857,2.5,3.5,2.222222222
406,21 - 24,R_3jeSvTGDuKGuftt,Female,D. Va,83,1,3,2,4,XBox,Tank,Female,12,2.571428571,3.6,3.3,5,4.714285714,3.2,2.125,3.888888889
407,21 - 24,R_1EbdqirFO9u7AoJ,Male,Mercy,79,1,2,3,4,Playstation,Support,Female,18,4.285714286,5.4,4.2,3.142857143,4.285714286,2.9,3.125,2.222222222
408,25 - 29,R_1FPXP4NvO8CpUQ5,Female,Mercy,29,4,1,3,2,PC,Support,Female,16,4.285714286,4.7,4.7,4.285714286,4,2.8,3.875,3.222222222
409,18 - 20,R_3e4Z9LzwGKhYeKA,Male,D. Va,100,2,1,3,4,PC,Tank,Female,19,3.857142857,4.5,4.2,3.714285714,3.571428571,3.6,2.625,2.555555556
410,25 - 29,R_3njUmaKjuqyNh7X,Male,Zenyatta,87,2,1,3,4,PC,Support,Male,10,3.714285714,4,2.6,3.857142857,4,1.5,2.5,2.777777778
411,21 - 24,R_2t525PGk1ij9sOd,Male,Orisa,50,1,2,4,3,PC,Tank,Female,5,3.714285714,5,3.1,3,4.142857143,4,2.375,1.777777778
412,21 - 24,R_12EjXmixT3smPJg,Male,Ana,19,2,1,4,3,PC,Support,Female,16,3.857142857,5.3,3.4,3.428571429,2.857142857,2.6,3.125,3
413,21 - 24,R_3MSySi11AiWltUQ,Male,Zenyatta,25,1,2,4,3,PC,Support,Male,11,3,5.7,4.1,2.571428571,4,3.5,3.5,2.111111111
414,21 - 24,R_2Byr6AJPsyT5tzI,Male,Mercy,26,3,1,2,4,PC,Support,Female,13,2.857142857,4.2,2.9,3.428571429,3.714285714,1.8,2.875,3.333333333
415,18 - 20,R_1qVcniY1P2Plzq8,Male,Sombra,40,4,1,2,3,Playstation,Offense,Female,18,5,5.5,5.3,3.857142857,3,2.2,2.875,3.444444444
416,25 - 29,R_sCkaErNkhAZNpER,Female,Lucio,49,1,2,4,3,PC,Support,Male,7,3.857142857,4.5,2.7,3,4.428571429,3.4,2.5,2.666666667
417,18 - 20,R_Cf7QYABr5ZNbVYd,Male,Widowmaker,42,2,1,4,3,PC,Defense,Female,14,3.571428571,4.9,3.9,2.285714286,3.571428571,3.3,2,3.555555556
418,25 - 29,R_xlrCJzm2Q8UZwtP,Male,Pharah,19,2,1,4,3,PC,Offense,Female,16,2.285714286,4,4.1,4.571428571,4.714285714,3.9,2.75,4.444444444
419,18 - 20,R_1CfrKnO6GA12o7A,Male,Lucio,91,4,2,1,3,Playstation,Support,Male,13,3.571428571,3.5,2.6,3.142857143,3.571428571,2.6,3.375,2.111111111
420,25 - 29,R_2PB7xHo0s3QaoH6,Male,Zarya,80,2,1,3,4,PC,Tank,Female,15,4.142857143,5.4,3.6,4.428571429,2.714285714,3,3.25,4
421,18 - 20,R_3JCyO6QjSSPcl7N,Male,Lucio,11,1,4,2,3,PC,Support,Male,14,6.285714286,7,5.1,2.714285714,3.142857143,2.2,4.125,2.666666667
422,25 - 29,R_2rDcM4kLplU2oos,Male,Pharah,60,1,2,3,4,Playstation,Offense,Female,22,3.285714286,5.9,4.2,4,3.571428571,3.6,2,4.111111111
423,21 - 24,R_1ovVqH1I5ZUAOeI,Male,McCree,19,3,1,4,2,PC,Offense,Male,8,4.285714286,5.9,4.5,2.714285714,3.285714286,3.7,2.875,1.444444444
424,21 - 24,R_szpN0Y3aSajjfGh,Male,Genji,74,1,2,3,4,XBox,Offense,Male,14,3.285714286,4.4,3.4,4.714285714,3.714285714,3.6,2.5,3.777777778
425,30 - 34,R_1riutTMqWivGAK6,Male,Reinhardt,0,1,2,4,3,Playstation,Tank,Male,9,3.571428571,4.3,3.5,3.571428571,4,2.5,1.375,3.777777778
426,25 - 29,R_3ML4piOT8bbt6Ln,Male,McCree,85,3,2,1,4,PC,Offense,Male,12,5.285714286,6.4,5.8,2.142857143,3.285714286,3,3.5,3.222222222
427,18 - 20,R_3G2GN9QmqWWKDiW,Male,Mercy,8,2,1,4,3,PC,Support,Female,6,3.571428571,4.5,3,3.142857143,2.285714286,3,2.875,2.555555556
428,25 - 29,R_3iO6zEYytcTqVcj,Male,Ana,58,2,1,3,4,PC,Support,Female,17,2.571428571,5,3.4,4.142857143,3,3,4.125,3.666666667
429,21 - 24,R_3dS0KBHLiIIrElF,Male,D. Va,79,2,1,4,3,XBox,Tank,Female,12,3,5.5,4.3,2.857142857,4.142857143,2.2,3.125,2.777777778
430,18 - 20,R_1C9CcQP0knOUAbh,Male,Tracer,78,2,1,4,3,Playstation,Offense,Female,9,4.142857143,3.8,3.8,3.285714286,3.428571429,3,2.75,2.555555556
431,18 - 20,R_3KItOleQrHeWWHG,Male,Soldier: 76,90,1,2,3,4,PC,Offense,Male,13,2.428571429,4.6,3.5,3.714285714,4.571428571,2.9,2.875,3.333333333
432,18 - 20,R_2U57gjmC3IRpibW,Male,Lucio,73,1,2,3,4,PC,Support,Male,13,4.571428571,5.4,2.3,4.285714286,4.571428571,3.5,3,2.333333333
433,18 - 20,R_3LcBmhBPM1jyLUE,Male,Zenyatta,71,1,2,4,3,PC,Support,Male,12,3.857142857,5.6,4.8,4.285714286,3.714285714,3.5,2.375,2.888888889
434,21 - 24,R_1dKAhhfNhlHoNzP,Male,Sombra,78,1,2,3,4,PC,Offense,Female,17,1.285714286,3.1,2.9,4.571428571,4.571428571,1.7,2.375,4.333333333
435,18 - 20,R_ZxHUTbnTcLgN7BD,Male,Genji,35,2,1,4,3,PC,Offense,Male,10,3.857142857,4.7,3.6,3.285714286,3.428571429,3.1,2.375,2
436,21 - 24,R_2rDsIxXPghYaubI,Male,Tracer,40,2,1,4,3,PC,Offense,Female,13,4,5.2,4.4,3.714285714,3.571428571,1.8,4.25,2.777777778
437,21 - 24,R_3D1I1ofcguD8lL8,Male,Mercy,81,1,2,4,3,Playstation,Support,Female,NA,2.142857143,4.1,4.6,2.428571429,3.571428571,4.6,3.75,2.777777778
438,21 - 24,R_3R9jQbO1hqKiadg,Male,Winston,76,2,1,4,3,Playstation,Tank,Male,14,3.571428571,4.5,4.7,3.142857143,4.428571429,3.5,1.5,2.888888889
439,21 - 24,R_tWJBhhS7wIVlUTT,Female,D. Va,38,2,1,4,3,Playstation,Tank,Female,4,4.142857143,4.4,4.3,3.571428571,3.285714286,3,2.875,2.555555556
440,21 - 24,R_vAD36puxPeGoW09,Male,Lucio,96,2,1,4,3,PC,Support,Male,9,2,3.8,4.4,3.428571429,4.857142857,3.9,1.25,2.222222222
441,18 - 20,R_22PxgykItaQpppH,Male,Lucio,74,1,2,3,4,PC,Support,Male,16,4.142857143,4.8,2.7,3.714285714,4.428571429,3.1,1.625,3
442,21 - 24,R_pa4vzegDkKPODGF,Male,Zarya,83,1,2,3,4,PC,Tank,Female,14,3,4.2,2.4,2.428571429,3.714285714,2.7,3.125,2.888888889
443,18 - 20,R_2Bhtegp3pp4kJLP,Male,Lucio,30,1,3,2,4,PC,Support,Male,15,3.285714286,5.2,3.3,3.142857143,2.428571429,2.8,3.5,3.666666667
444,21 - 24,R_3Ooarw8s05eBRIu,Male,Winston,70,2,1,3,4,PC,Tank,Male,7,3.571428571,3.1,3.7,4,4.428571429,3.7,2,2
445,18 - 20,R_2uxFwxb0fgo3nIr,Male,McCree,81,1,2,3,4,XBox,Offense,Male,12,1.714285714,3.5,3.3,4.142857143,4.571428571,4,1.875,3.222222222
